,movie_name,audience_rating,number_of_votes,movie_meta_rating,number_critic_review,movie_link_imdb,movie_genres
0,CODA,8.0,112955,74,246,https://www.imdb.com//title/tt10366460/,"['Comedy', 'Drama', 'Music']"
1,Nomadland,7.3,152298,93,392,https://www.imdb.com//title/tt9770150/,['Drama']
2,Parasite,8.5,750520,96,602,https://www.imdb.com//title/tt6751668/,"['Comedy', 'Drama', 'Thriller']"
3,Green Book,8.2,467547,69,422,https://www.imdb.com//title/tt6966692/,"['Biography', 'Comedy', 'Drama']"
4,Shape of Water: Das Flüstern des Wassers,7.3,410658,87,1000,https://www.imdb.com//title/tt5580390/,"['Drama', 'Fantasy', 'Romance']"
5,Moonlight,7.4,301685,99,512,https://www.imdb.com//title/tt4975722/,['Drama']
6,Spotlight,8.1,460927,93,512,https://www.imdb.com//title/tt1895587/,"['Biography', 'Crime', 'Drama']"
7,Birdman oder (Die unverhoffte Macht der Ahnungslosigkeit),7.7,619718,87,628,https://www.imdb.com//title/tt2562232/,"['Comedy', 'Drama']"
8,12 Years a Slave,8.1,688131,96,488,https://www.imdb.com//title/tt2024544/,"['Biography', 'Drama', 'History']"
9,Argo,7.7,607306,86,668,https://www.imdb.com//title/tt1024648/,"['Biography', 'Drama', 'Thriller']"
10,The Artist,7.9,240081,89,584,https://www.imdb.com//title/tt1655442/,"['Comedy', 'Drama', 'Romance']"
11,The King's Speech - Die Rede des Königs,8.0,672476,88,477,https://www.imdb.com//title/tt1504320/,"['Biography', 'Drama', 'History']"
12,Slumdog Millionär,8.0,835170,84,241,https://www.imdb.com//title/tt1010048/,"['Drama', 'Romance']"
13,Tödliches Kommando - The Hurt Locker,7.5,446014,95,407,https://www.imdb.com//title/tt0887912/,"['Drama', 'Thriller', 'War']"
14,No Country for Old Men,8.2,945616,92,522,https://www.imdb.com//title/tt0477348/,"['Crime', 'Drama', 'Thriller']"
15,Departed: Unter Feinden,8.5,1291454,85,295,https://www.imdb.com//title/tt0407887/,"['Crime', 'Drama', 'Thriller']"
16,Million Dollar Baby,8.1,677272,86,261,https://www.imdb.com//title/tt0405159/,"['Drama', 'Sport']"
17,L.A. Crash,7.8,433973,66,280,https://www.imdb.com//title/tt0375679/,"['Crime', 'Drama', 'Thriller']"
18,Der Herr der Ringe: Die Rückkehr des Königs,9.0,1784584,94,340,https://www.imdb.com//title/tt0167260/,"['Action', 'Adventure', 'Drama']"
19,Chicago,7.2,228149,81,217,https://www.imdb.com//title/tt0299658/,"['Comedy', 'Crime', 'Musical']"
20,A Beautiful Mind: Genie und Wahnsinn,8.2,913973,72,156,https://www.imdb.com//title/tt0268978/,"['Biography', 'Drama']"
21,Gladiator,8.5,1459918,67,219,https://www.imdb.com//title/tt0172495/,"['Action', 'Adventure', 'Drama']"
22,American Beauty,8.4,1134671,84,212,https://www.imdb.com//title/tt0169547/,['Drama']
23,Shakespeare in Love,7.1,223678,87,121,https://www.imdb.com//title/tt0138097/,"['Comedy', 'Drama', 'History']"
24,Titanic,7.9,1138869,75,333,https://www.imdb.com//title/tt0120338/,"['Drama', 'Romance']"
25,Der englische Patient,7.4,188713,87,127,https://www.imdb.com//title/tt0116209/,"['Drama', 'Romance', 'War']"
26,Braveheart,8.4,1019783,68,149,https://www.imdb.com//title/tt0112573/,"['Biography', 'Drama', 'History']"
27,Forrest Gump,8.8,2006742,82,173,https://www.imdb.com//title/tt0109830/,"['Drama', 'Romance']"
28,Schindlers Liste,9.0,1321539,94,173,https://www.imdb.com//title/tt0108052/,"['Biography', 'Drama', 'History']"
